timestamp,user_id,session_id,location_mode,in_break,break_type,mean_dwell_time,std_dwell_time,mean_flight_time,typing_speed_wpm,error_rate,mean_velocity,std_velocity,mean_acceleration,mean_curvature,click_frequency,idle_ratio,app_switch_frequency,active_app_entropy,total_focus_duration,session_duration_min,hour_of_day,day_of_week,geolocation_deviation,wifi_ssid_match,device_fingerprint_match,face_liveness_score,composite_risk_score,productivity_score,alert_triggered,contributing_factors,label
2026-03-11T18:21:05,IT22248626,sess_636993,office,False,,82.29,11.61,46.29,85.8,0.0307,491.34,78.45,119.17,0.534,1.6,0.171,5.97,1.075,2240.2,75.1,10,5,0.012,1.0,0.888,0.976,19.34,95.3,False,face_liveness_score;app_switch_frequency,normal
2026-03-05T13:20:38,IT22248626,sess_976552,office,False,,83.52,12.14,54.89,53.2,0.0273,505.11,90.13,99.93,0.352,1.87,0.074,3.19,0.974,1816.9,87.8,9,3,0.12,1.0,0.956,0.929,41.97,78.2,False,geolocation_deviation;app_switch_frequency,normal
2026-03-21T12:03:00,IT22248626,sess_897434,office,True,lunch,92.99,14.09,46.94,40.7,0.0178,425.4,92.73,118.15,0.358,1.71,0.15,4.01,1.653,1949.8,17.2,18,1,0.096,1.0,0.888,0.987,44.71,88.8,False,face_liveness_score;geolocation_deviation;wifi_ssid_match,normal
2026-03-02T13:25:02,IT22248626,sess_907918,office,False,,90.7,15.01,47.93,39.7,0.0248,630.78,115.56,132.48,0.545,1.51,0.086,4.23,1.483,1740.0,34.7,17,3,0.031,0.85,0.972,0.922,55.91,34.5,False,mean_velocity;app_switch_frequency,low_risk_anomaly
2026-03-08T14:59:54,IT22248626,sess_872212,home,False,,86.97,11.79,54.04,64.2,0.0367,494.08,69.05,152.82,0.494,2.21,0.182,4.26,1.565,1414.1,28.7,16,5,0.067,1.0,0.991,0.928,20.65,76.3,False,face_liveness_score;idle_ratio,normal
2026-03-07T22:24:52,IT22248626,sess_871854,office,False,,98.65,10.15,46.13,69.3,0.0347,458.61,84.8,121.08,0.382,1.67,0.053,2.77,1.475,1378.2,27.2,11,4,0.094,1.0,0.919,0.99,13.25,89.3,False,app_switch_frequency,normal
2026-03-25T12:35:53,IT22248626,sess_894495,unknown,False,,106.26,16.63,57.8,59.4,0.0294,385.95,104.86,141.1,0.457,1.95,0.112,4.89,1.762,1743.2,51.6,11,4,0.081,1.0,0.924,0.949,27.32,75.9,False,mean_dwell_time;mean_velocity,normal
2026-03-18T21:44:50,IT22248626,sess_413381,office,False,,83.39,14.42,54.03,71.4,0.0222,458.17,95.89,156.45,0.477,2.31,0.055,2.38,1.042,2177.8,65.0,12,5,0.057,1.0,0.911,0.979,7.71,70.7,False,face_liveness_score;geolocation_deviation,normal
2026-03-17T11:05:12,IT22248626,sess_501998,unknown,False,,66.56,15.29,36.76,51.3,0.0251,477.04,56.92,132.41,0.519,1.95,0.132,4.24,1.703,1885.4,16.2,11,5,0.04,1.0,0.906,0.988,34.42,73.3,False,mean_velocity;face_liveness_score,normal
2026-03-26T19:10:39,IT22248626,sess_648793,office,False,,91.32,12.93,47.62,62.5,0.0253,362.74,53.76,114.94,0.448,2.38,0.183,3.76,0.975,2070.9,25.9,12,5,0.066,0.85,0.969,0.955,34.1,83.4,False,typing_speed_wpm;mean_dwell_time,normal
2026-03-15T12:00:46,IT22248626,sess_136346,office,False,,72.91,11.87,47.55,83.5,0.0167,397.35,78.63,115.89,0.455,2.16,0.118,5.2,1.681,1763.2,48.8,15,2,0.012,1.0,0.931,0.968,30.1,83.0,False,face_liveness_score;typing_speed_wpm;app_switch_frequency,normal
2026-03-07T23:03:52,IT22248626,sess_766568,unknown,False,,99.31,14.69,47.42,63.5,0.0343,389.96,86.28,110.32,0.381,3.11,0.139,4.64,1.457,1560.6,80.3,10,4,0.057,1.0,0.941,0.981,29.58,79.6,False,wifi_ssid_match;mean_velocity;typing_speed_wpm,normal
2026-03-16T16:55:27,IT22248626,sess_357551,home,True,short,87.9,14.68,52.8,45.7,0.0285,636.83,89.6,142.67,0.473,1.78,0.135,4.09,1.683,1713.0,44.7,7,2,0.017,0.85,0.898,0.937,58.44,53.5,False,mean_velocity;typing_speed_wpm,low_risk_anomaly
